Filename	Category Code	Column Number	Data Label	Data Label Source	Controlled Vocab Code	Source Column	Data Type	Start	Width
		1592				ReasonNoRad	Text	1592	1
		1593				RxCodingSystem	Text	1593	2
		1595				Reserved18	Text	1595	1
		1596				RadInfo	Text	1596	20
		1616				RxSummSystemicSurSeq	Text	1616	1
		1617				RxSummSurgType	Text	1617	2
		1619				ReadHosp30Days	Text	1619	5
		1624				Reserved06	Text	1624	100
		1724				SubRx	Memo	1724	64
		1788				Reserved07	Text	1788	100
		1888				Overrides_ICDO1Fields	Text	1888	42
		1930				SeerCodingSys	Text	1930	2
		1932				COCCodingSys	Text	1932	4
		1936				VendorName	Text	1936	10
		1946				SeerFields	Text	1946	5
		1951				DateCaseInitiated	Text	1951	8
		1959				DateCaseCompleted	Text	1959	8
		1967				DateCaseCompleted-CoC	Text	1967	8
		1975				DateCaseLstChanged	Text	1975	8
		1983				DateCaseReportExported	Text	1983	8
		1991				DateCaseReptReceived	Text	1991	8
		1999				DateCaseReptLoaded	Text	1999	8
		2007				DateRecordAvail	Text	2007	8
		2015				ICDO3ConvFlag	Text	2015	1
		2016				Reserved08	Text	2016	100
		2116				DateLastContact	Text	2116	10
		2126				VitalStatus	Text	2126	1
		2127				CancerStatus	Text	2127	1
		2128				SurvivalQuality	Text	2128	1
		2129				FollowUpSource	Text	2129	1
		2130				NextFollowUpSource	Text	2130	1
		2131				AddrCurrentCity	Text	2131	50
		2181				AddrCurrentState	Text	2181	2
		2183				AddrCurrentPostalCode	Text	2183	9
		2192				CountyCurrent	Text	2192	3
		2195				Reserved17	Text	2195	1
		2196				Recurrence	Text	2196	12
		2208				FollowUpContactCity	Text	2208	50
		2258				FollowUpContactState	Text	2258	2
		2260				FollowUpContactPostal	Text	2260	9
		2269				CauseofDeath	Text	2269	4
		2273				ICDRevision	Text	2273	1
		2274				Autopsy	Text	2274	1
		2275				PlaceDeath	Text	2275	3
		2278				FollowupSourceCentral	Text	2278	2
		2280				DateOfDthCanada	Text	2280	12
		2292				Reserved09	Text	2292	48
		2340				StateRequestorItems	Memo	2340	1000
		3340				NameLast	Text	3340	40
		3380				NameFirst	Text	3380	40
		3420				NameMiddle	Text	3420	40
		3460				NamePrefix	Text	3460	3
		3463				NameSuffix	Text	3463	3
		3466				NameAlias	Text	3466	40
		3506				NameMaiden	Text	3506	40
		3546				NameSpouse	Text	3546	60
		3606				MedicalRecord	Text	3606	11
		3617				MilitarySuffix	Text	3617	2
		3619				SSN	Text	3619	9
		3628				AddressDx	Text	3628	60
		3688				AddressDxSuppl	Text	3688	60
		3748				AddressCurrent	Text	3748	60
		3808				AddressCurrentSuppl	Text	3808	60
		3868				Phone	Text	3868	10
		3878				DCStateFileNumber	Text	3878	6
		3884				FollowUpContactName	Text	3884	60
		3944				FollowUpContactAddress	Text	3944	60
		4004				FollowUpContactSuppl	Text	4004	60
		4064				Latitude	Text	4064	10
		4074				Longitude	Text	4074	11
		4085				Reserved10	Text	4085	200
		4285				FollowingRegistry	Text	4285	20
		4305				ReferredFrom	Text	4305	20
		4325				ReferredTo	Text	4325	20
		4345				Reserved11	Text	4345	50
		4395				PhysicianManaging	Text	4395	18
		4413				OtherMDs	Text	4413	72
		4485				Reserved12	Text	4485	50
		4535				PathFields	Memo	4535	1030
		5565				TextPE	Memo	5565	1000
		6565				TextX-ray	Memo	6565	1000
		7565				TextScopes	Memo	7565	1000
		8565				TextLabs	Memo	8565	1000
		9565				TextOp	Memo	9565	1000
		10565				TextPath	Memo	10565	1000
		11565				PrimarySiteTitle	Text	11565	100
		11665				HistologyTitle	Text	11665	100
		11765				TextStaging	Memo	11765	1000
		12765				TextSurgery	Memo	12765	1000
		13765				TextRadBeam	Memo	13765	1000
		14765				TextRadOther	Memo	14765	1000
		15765				TextChemo	Memo	15765	1000
		16765				TextHormone	Memo	16765	1000
		17765				TextBRM	Memo	17765	1000
		18765				TextOther	Memo	18765	1000
		19765				TextRemarks	Memo	19765	1000
		20765				DxPlace	Text	20765	60
		20825				Reserved14	Memo	20825	2000
