total words: 10049, frequent words (> 100): 1273, cutoff: 0.002
top words: 20, super top words: 2, cutoff: 0.1
#POLYSEMOUS TERMS
	[ABORTUS, Assessment_Section, Percent_Unit, Androgen_Response_Element, Abortus, Left_Arm]
oligodendroglioma anaplast malign	[Anaplastic_Oligodendroglioma, Oligodendroglioma]
granular cell tumor no	[Granular_Cell_Tumor, Choristoma]
ag	[Angular_Gyrus, Age]
ah	[Gros_Ventres, Atsina]
bl	[Burkitt_Lymphoma, Burkitt_Leukemia]
ca	[Malignant_Neoplasm, Cancer, Cornu_Ammonis]
cc	[C-Circle, ChiefComplaint_Section, Cholangiocarcinoma]
ct	[Computed_Tomography, Tomography]
fibroma uterin	[Leiomyoma, Uterine_Corpus_Leiomyoma]
er	[Estrogen_Receptor_Status, Endoplasmic_Reticulum]
colorect junction	[Rectosigmoid_Region, Rectosigmoid_Colon]
fu	[FollowUp_Section, Fluorouracil]
genox	[Cyclophosphamide, Tamoxifen_Citrate]
carotid arteri	[Common_Carotid_Artery, Carotid_Artery]
hr	[HeartRate_Section, High_Risk]
ht	[HeightPercentile_Section, Height_Section]
microfila actin	[Myofilament, Actin_Filament]
hind limb	[Lower_Extremity, Leg]
le	[Lower_Extremity, Lower_Esophageal_Sphincter, Leg]
cylindroma morpholog abnorm	[Cylindroma, Adenoid_Cystic_Carcinoma]
mouth mucosa	[Buccal_Mucosa, Oral_Mucosa]
bcll	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
structur iliac lymph node bodi	[Common_Iliac_Lymph_Node, Iliac_Lymph_Node]
tonsillar structur	[Tonsil, Palatine_Tonsil]
sinu poculari	[Utricle, Prostatic_Utricle]
os	[Left_Eye, Bone]
pe	[PhysicalExamination_Section, Foot]
leukemia myeloid acut m5	[Acute_Monocytic_Leukemia, Acute_Monoblastic_Leukemia]
dominican	[Dominican, Dominica_Islander]
pr	[Progesterone_Receptor_Status, Polarized_Reflectance_Spectroscopy]
uss ultrasound scan	[Diagnostic_Ultrasound, Ultrasonography]
pv	[Portal_Vein, Polycythemia_Vera]
nervu olfactoriu i	[Olfactory_Nerve, Cranial_Nerve]
ra	[Radiography, Right_Arm, Refractory_Anemia]
rt	[Right_Thigh, Refractory_Thrombocytopenia, Atypical_Teratoid_Rhabdoid_Tumor, Radiation_Therapy]
sn	[Sympathetic_Nervous_System, sn_modifier]
ankl bone	[Talus, Tarsal_Bone]
common carotid arteri	[Common_Carotid_Artery, Carotid_Artery]
leukemia lymphoblast chronic	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
ue	[Upper_Esophageal_Sphincter, Upper_Extremity, Arm]
ul	[Leiomyoma, Subcellular_Structure, Uterine_Corpus_Leiomyoma]
inner ear structur	[Inner_Ear, Cochlea]
us	[Male_External_Urethral_Sphincter, Diagnostic_Ultrasound, Ultrasonography]
malign neoplasm unspecifi	[Malignant_Neoplasm, Cancer]
wt	[WeightPercentile_Section, Weight_Section]
bladder	[Bladder_Tissue, Bladder]
xp	[X_Ray_Photoelectron_Spectroscopy, Xp]
medullari	[Medulla_Oblongata, Adrenal_Medulla]
dental alveolu	[Alveolus, Tooth_Socket]
dental alveoli	[Alveolus, Tooth_Socket]
n fibulari communi	[Peroneal_Nerve, Common_Peroneal_Nerve]
ganglioneurofibroma	[Gangliocytoma, Ganglioneuroma]
neoplasm undetermin	[Neoplasm, Tumor]
cerebellum	[Cerebellum, Cortical_Cell_Layer_of_the_Cerebellum]
carin lymph node	[Subcarinal_Lymph_Node, Tracheobronchial_Lymph_Node]
later poplit nerv	[Peroneal_Nerve, Common_Peroneal_Nerve]
subcutan tissu no	[Superficial_Fascia, Subcutis]
common carotid arteri structur bodi	[Common_Carotid_Artery, Carotid_Artery]
outer ear	[Auricle, External_Ear]
frontal region	[Forehead, Frontal_Lobe]
walapai	[Havasupai, Yavapai]
comput axial tomographi	[Computed_Tomography, Tomography]
teleradiotherapi beta particl	[Electron_Beam_Therapy, Photon_Beam_Radiation_Therapy]
acut monocyt leukaemia fab m5b	[Acute_Monocytic_Leukemia, Acute_Monoblastic_Leukemia]
capillari blood vessel organ	[Capillary, Blood_Capillary]
interphalang joint foot	[Interphalangeal_Joint_of_the_Foot, Toe_Joint]
complex proteasom endopeptidas	[20S_Proteasome, Proteasome]
entir sacrum bodi structur	[Sacrum, Sacral_Bone]
tumor granular cell	[Granular_Cell_Tumor, Choristoma]
adenocarcinoma renal cell	[Papillary_Renal_Cell_Carcinoma, Renal_Cell_Carcinoma]
ankl joint	[Ankle_Joint, Ankle_Mortise]
multicatalyt proteinas	[20S_Proteasome, Proteasome]
unilater mastectomi no	[Total_Mastectomy, Mastectomy]
acut monocyt leukaemia	[Acute_Monocytic_Leukemia, Acute_Monoblastic_Leukemia]
subcutan tissu structur	[Superficial_Fascia, Subcutis]
all acut lymphoblast leukemia	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
lymphoblast leukemia acut	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
digger	[Konkow, Digger]
l3 lymphocyt leukemia	[Burkitt_Lymphoma, Burkitt_Leukemia]
joint structur wrist region bodi	[Wrist_Joint, Carpal_Joint]
cell membran	[Plasma_Membrane, Cellular_Membrane]
renal cell adenocarcinoma	[Papillary_Renal_Cell_Carcinoma, Renal_Cell_Carcinoma]
leukemia lymphoblast malign	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
membrum superiu	[Upper_Extremity, Arm]
subcarin lymph node	[Subcarinal_Lymph_Node, Tracheobronchial_Lymph_Node]
hand schuller christian diseas	[Langerhans_Cell_Histiocytosis, Hand_Schuller_Christian_Disease]
lymphocyt lymphoma diffus well differ	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
dentit	[Dentition, Tooth]
wilm tumor kidnei	[Kidney_Wilms_Tumor, Wilms_Tumor]
infiltr duct carcinoma no	[Ductal_Breast_Carcinoma, Invasive_Ductal_Carcinoma_Not_Otherwise_Specified]
vertebra lumbar	[Lumbar_Spine, Lumbar_Vertebra]
plasma membran	[Plasma_Membrane, Cellular_Membrane]
hematolog oncolog histori	[HemetologicOncologicHistory_Section, PastMedicalHistory_Section]
acut mix lineag leukemia	[Acute_Biphenotypic_Leukemia, Acute_Bilineal_Leukemia]
filament contractil apparatu	[Myofilament, Actin_Filament]
extern ear structur bodi	[Auricle, External_Ear]
stage level 4 qualifi valu	[Stage_IVS, Stage_4]
set paraurethr gland	[Skene_Gland, Paraurethral_Gland]
contracept pill birth control	[Oral_Contraceptive, Oral_Contraceptive_Preparation]
comput assist tomographi	[Computed_Tomography, Tomography]
entir palatin tonsil	[Tonsil, Palatine_Tonsil]
tricep	[Triceps_Brachii, Triceps]
metastat dermatofibrosarcoma protuberan	[Dermatofibrosarcoma_Protuberans, Giant_Cell_Fibroblastoma]
f actin	[F-actin, Actin_Filament]
acut myeloid leukemia multilineag dysplasia	[Acute_Myeloid_Leukemia_with_Myelodysplasia_Related_Changes, Acute_Myeloid_Leukemia_with_Multilineage_Dysplasia]
oligodendroglioma anaplast morpholog abnorm	[Anaplastic_Oligodendroglioma, Oligodendroglioma]
computeris tomograph scan	[Computed_Tomography, Tomography]
adenocarcinoma kidnei	[Papillary_Renal_Cell_Carcinoma, Renal_Cell_Carcinoma]
cerebellar	[Cerebellum, Cortical_Cell_Layer_of_the_Cerebellum]
hydm1	[Complete_Hydatidiform_Mole, Hydatidiform_Mole]
granular cell neoplasm	[Granular_Cell_Tumor, Choristoma]
inguin lymph node structur bodi	[Femoral_Lymph_Node, Inguinal_Lymph_Node]
plasmacytoma	[Solitary_Plasmacytoma, Plasmacytoma]
diegueno languag	[Diegueno, Campo]
x rai ct	[Computed_Tomography, Tomography]
lymphoid leukaemia acut	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
hololupai	[Konkow, Digger]
lymphoma lymphocyt	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
computer axial tomographi	[Computed_Tomography, Tomography]
muscular qualifi valu	[Muscle_Tissue, Muscle]
yavapai	[Havasupai, Yavapai]
germin centr lymph node	[Lymph_Node_Germinal_Center, Germinal_Center]
skene gland	[Skene_Gland, Paraurethral_Gland]
crista	[Mitochondrial_Crista, Ampullary_Crest]
hydm	[Complete_Hydatidiform_Mole, Hydatidiform_Mole]
previou pregnanc	[Gravida, ObstetricHistory_Section]
malign tumor nervou system	[Malignant_Neoplasm, Cancer]
spinal root	[Spinal_Nerve, Spinal_Nerve_Root]
colon adenomat polyp	[Colon_Adenomatous_Polyp, Colon_Adenoma]
pyramid renal	[Renal_Pyramid, Renal_Medulla]
infiltr ductal carcinoma breast	[Ductal_Breast_Carcinoma, Invasive_Ductal_Carcinoma_Not_Otherwise_Specified]
hippocampu major	[Hippocampus, Cornu_Ammonis]
renal pyramid structur bodi	[Renal_Pyramid, Renal_Medulla]
kidnei embryon mix tumor	[Kidney_Wilms_Tumor, Wilms_Tumor]
solitari plasmacytoma bone morpholog abnorm	[Solitary_Plasmacytoma, Plasmacytoma]
maiduan	[Konkow, Digger]
send neoplasm	[Neoplasm, Tumor]
sonographi	[Diagnostic_Ultrasound, Ultrasonography]
set renal pyramid	[Renal_Pyramid, Renal_Medulla]
cellular ependymoma	[Clear_Cell_Ependymoma, Cellular_Ependymoma]
malign tumor morpholog	[Malignant_Neoplasm, Cancer]
ultrasound procedur	[Diagnostic_Ultrasound, Ultrasonography]
histor	[Historicity, Historical]
malign neurolog neoplasm	[Malignant_Neoplasm, Cancer]
bile duct carcinoma	[Bile_Duct_Carcinoma, Bile_Duct_Adenocarcinoma]
cartilag no	[Cartilage, Cartilaginous_Tissue]
tumor plasma cell	[Solitary_Plasmacytoma, Plasmacytoma]
set hepat lymph node	[Portal_Lymph_Node, Hepatic_Lymph_Node]
prepuc	[Prepuce, Male_Prepuce]
oral contracept agent	[Oral_Contraceptive, Oral_Contraceptive_Preparation]
vertebra	[Vertebral_Bone, Vertebra]
chronic lymphoid leukemia diseas	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
chest region	[Chest, Thorax]
leukemia l3 lymphocyt	[Burkitt_Lymphoma, Burkitt_Leukemia]
small lymphocyt lymphoma	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
inguin lymph node set	[Femoral_Lymph_Node, Inguinal_Lymph_Node]
larg intestin wall tissu	[Large_Intestine, Large_Intestinal_Wall_Tissue]
invas ductal carcinoma no specif type	[Ductal_Breast_Carcinoma, Invasive_Ductal_Carcinoma_Not_Otherwise_Specified]
teeth	[Dentition, Tooth, Odontogenic_Tissue]
unilat simpl mastectomi	[Total_Mastectomy, Mastectomy]
upper inner quadrant breast	[Upper-Inner_Quadrant_of_the_Breast, Upper_Inner_Quadrant_of_the_Breast]
b cell chronic lymphocyt leukaemia	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
unilater mastectomi	[Total_Mastectomy, Mastectomy]
acut lymphoblast leukaemia all	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
aml no	[Acute_Myeloid_Leukemia_Not_Otherwise_Specified, Acute_Myeloid_Leukemia]
gangliocytoma grade i	[Gangliocytoma, Ganglioneuroma]
joint wrist	[Wrist_Joint, Carpal_Joint]
acut monocyt leukemia	[Acute_Monocytic_Leukemia, Acute_Monoblastic_Leukemia]
mucosa associ lymphoma	[Extranodal_Marginal_Zone_Lymphoma_of_Mucosa_Associated_Lymphoid_Tissue, Nodal_Marginal_Zone_Lymphoma]
chronic lymphoid leukaemia	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
lymphoma mucosa associ lymphoid tissu	[Extranodal_Marginal_Zone_Lymphoma_of_Mucosa_Associated_Lymphoid_Tissue, Nodal_Marginal_Zone_Lymphoma]
bone tissu structur	[Bone_Tissue, Bone]
nephroblastoma disord	[Kidney_Wilms_Tumor, Wilms_Tumor]
membran cytoplasm	[Plasma_Membrane, Cellular_Membrane]
comparison	[LaboratoryAndRadiologyData_Section, Comparison_Section_OLD]
nodi lymphoidei inguinal	[Femoral_Lymph_Node, Inguinal_Lymph_Node]
oral contracept agent substanc	[Oral_Contraceptive, Oral_Contraceptive_Preparation]
lymphocyt lymphoma well differenti	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
wilm tumor	[Kidney_Wilms_Tumor, Wilms_Tumor]
acut myeloid leukemia not otherwis specifi	[Acute_Myeloid_Leukemia_Not_Otherwise_Specified, Acute_Myeloid_Leukemia]
iliac lymph node	[Common_Iliac_Lymph_Node, Iliac_Lymph_Node]
structur alveolu dentali	[Alveolus, Tooth_Socket]
male prepuc	[Prepuce, Male_Prepuce]
margin zone b cell lymphoma	[Extranodal_Marginal_Zone_Lymphoma_of_Mucosa_Associated_Lymphoid_Tissue, Nodal_Marginal_Zone_Lymphoma, Marginal_Zone_Lymphoma]
elast fiber	[Elastic_Fiber, Elastin_Fiber]
cll lymphoplasmacytoid lymphoma	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
x rai computer tomographi	[Computed_Tomography, Tomography]
mucosa buccal	[Buccal_Mucosa, Oral_Mucosa]
epiglotti structur bodi	[Epiglottis, Epiglottic_Cartilage]
nuclear pore complex	[Nuclear_Pore, Nuclear_Pore_Complex]
hepat duct	[Hepatic_Duct, Common_Hepatic_Duct]
infiltr ductal breast cancer	[Ductal_Breast_Carcinoma, Invasive_Ductal_Carcinoma_Not_Otherwise_Specified]
stereotact radiosurgeri	[Radiosurgery, Stereotactic_Radiosurgery]
uterin leiomyoma disord	[Leiomyoma, Uterine_Corpus_Leiomyoma]
dorsal thalamu anthonei	[Thalamencephalon, Thalamus]
accessori sinu caviti	[Sinus, Paranasal_Sinus, Nasal_Cavity]
diagnost ultrasound	[Diagnostic_Ultrasound, Ultrasonography]
us ultrasound	[Diagnostic_Ultrasound, Ultrasonography]
chronic lymphocyt leukemia no	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
cortic	[Cerebral_Cortex, Renal_Cortex, Adrenal_Cortex]
height	[Height, Height_Section]
neoplasm malign primari	[Malignant_Neoplasm, Cancer]
diagnost procedur	[DiagnosticProcedure, LaboratoryAndRadiologyData_Section]
acut myeloid leukemia myelodysplasia relat chang	[Acute_Myeloid_Leukemia_with_Myelodysplasia_Related_Changes, Acute_Myeloid_Leukemia_with_Multilineage_Dysplasia]
oper	[OperativeProcedural_Section, SurgicalProcedures_Section]
arteria subclavia dextra	[Subclavian_Artery, Right_Subclavian_Artery]
proteinas multicatalyt	[20S_Proteasome, Proteasome]
joint inferior tibiofibular	[Ankle_Joint, Ankle_Mortise]
leukemia lymphocyt chronic b cell diseas find	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
gland prostat	[Prostatic_Tissue, Prostate_Gland]
wilm tumor diseas find	[Kidney_Wilms_Tumor, Wilms_Tumor]
blood vessel tissu	[Blood_Vessel_Tissue, Blood_Vessel]
major salivari gland no	[Salivary_Gland, Major_Salivary_Gland]
peripher lymphoid tissu	[Lymph_Node_Germinal_Center, Germinal_Center]
nasal caviti	[Sinus, Paranasal_Sinus, Nasal_Cavity]
secretori vesicl	[Secretory_Vesicle, Secretory_Granule]
well differenti liposarcoma	[Atypical_Lipomatous_Tumor, Well_Differentiated_Liposarcoma]
oligodendroglioma anaplast	[Anaplastic_Oligodendroglioma, Oligodendroglioma]
articulatio talocrurali	[Ankle_Joint, Ankle_Mortise]
anterior thorac region	[Chest, Thorax]
carcinoma adenoid cystic diseas find	[Cylindroma, Adenoid_Cystic_Carcinoma]
leukemia chronic lymphocyt cll	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
lymphoma cll lymphoplasmacytoid	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
malign neoplasm mesothelium	[Malignant_Mesothelioma, Mesothelioma]
myeloid sarcoma morpholog abnorm	[Myeloid_Sarcoma, Granulocytic_Sarcoma]
granular cell tumor diseas find	[Granular_Cell_Tumor, Choristoma]
thorax	[Chest, Thorax]
embryon adenosarcoma	[Kidney_Wilms_Tumor, Wilms_Tumor]
simpl mastectomi	[Total_Mastectomy, Mastectomy]
preputium peni	[Prepuce, Male_Prepuce]
all acut lymphocyt leukemia	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
thorac	[Chest, Thorax]
nerv i	[Olfactory_Nerve, Cranial_Nerve]
anal region	[Anal_Region, Perianal_Region]
penil prepuc	[Prepuce, Male_Prepuce]
common carotid arteri structur	[Common_Carotid_Artery, Carotid_Artery]
tricep brachii	[Triceps_Brachii, Triceps]
myoblastoma granular cell	[Granular_Cell_Tumor, Choristoma]
infiltr ductal carcinoma	[Ductal_Breast_Carcinoma, Invasive_Ductal_Carcinoma_Not_Otherwise_Specified]
giant cell fibroblastoma	[Dermatofibrosarcoma_Protuberans, Giant_Cell_Fibroblastoma]
small cell lymphoma	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
myeloid sarcoma diseas disord	[Myeloid_Sarcoma, Granulocytic_Sarcoma]
acut lymphocyt leukemia	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
echographi procedur	[Diagnostic_Ultrasound, Ultrasonography]
invas ductal adenocarcinoma	[Ductal_Breast_Carcinoma, Invasive_Ductal_Carcinoma_Not_Otherwise_Specified]
h pump	[Endosome_Proton_Pump, Lysosome_Proton_Pump]
fibroid uterin bodi	[Leiomyoma, Uterine_Corpus_Leiomyoma]
oral contracept prepar product	[Oral_Contraceptive, Oral_Contraceptive_Preparation]
small intestin	[Small_Intestine, Small_Intestinal_Wall_Tissue]
mediast	[Mediastinal, Mediastinum]
malign tumor	[Malignant_Neoplasm, Cancer]
cartilagin tissu	[Cartilage, Cartilaginous_Tissue]
sulcu hippocampali	[Hippocampal_Sulcus, Hippocampal_Fissure]
inguin lymph node group bodi structur	[Femoral_Lymph_Node, Inguinal_Lymph_Node]
fiber elast	[Elastic_Fiber, Elastin_Fiber]
endopeptidas complex multicatalyt	[20S_Proteasome, Proteasome]
vestibul ear	[Vestibular_Labyrinth, Vestibule_of_the_Ear]
auri externa	[Auricle, External_Ear]
breast ductal cancer invas	[Ductal_Breast_Carcinoma, Invasive_Ductal_Carcinoma_Not_Otherwise_Specified]
rectosigmoid colon	[Rectosigmoid_Region, Rectosigmoid_Colon]
drug	[SubstanceUse_Section, Medications_Section]
foreskin	[Prepuce, Male_Prepuce]
leukemia b cell chronic	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
uterin bodi fibroid	[Leiomyoma, Uterine_Corpus_Leiomyoma]
echogr	[Diagnostic_Ultrasound, Ultrasonography]
splenic tissu	[Spleen, Splenic_Tissue]
quadrat lobe liver	[Lobus_Quadratus, Quadrate_Lobe_of_Liver]
malign neoplasm primari	[Malignant_Neoplasm, Cancer]
nephroblastoma	[Kidney_Wilms_Tumor, Wilms_Tumor]
chloromyeloma	[Myeloid_Sarcoma, Granulocytic_Sarcoma]
plexu myentericu	[Submucous_Nerve_Plexus, Myenteric_Nerve_Plexus]
cisterna quadrigeminali	[Quadrigeminal_Cistern, Ambient_Cistern]
lymphoplasmacyt lymphoma waldenstrom macroglobulinemia	[Waldenstrom_Macroglobulinemia, Lymphoplasmacytic_Lymphoma]
plasmacytoma bone	[Solitary_Plasmacytoma, Solitary_Osseous_Plasmacytoma, Plasmacytoma]
metastat tumor	[Metastatic_Tumor, Metastatic_Neoplasm]
thorac structur bodi	[Chest, Thorax]
gastrointestin stromal tumor	[Gastrointestinal_Stromal_Tumor, Malignant_Gastrointestinal_Stromal_Tumor]
tracheobronchi node	[Subcarinal_Lymph_Node, Tracheobronchial_Lymph_Node]
vertebr bone	[Vertebral_Bone, Vertebra]
malign oligodendroglioma	[Anaplastic_Oligodendroglioma, Oligodendroglioma]
neoplasm gastrointestin stromal	[Gastrointestinal_Stromal_Tumor, Malignant_Gastrointestinal_Stromal_Tumor]
multicatalyt endopeptidas complex substanc	[20S_Proteasome, Proteasome]
lower outer quadrant breast	[Lower_Outer_Quadrant_of_the_Breast, Lower-Outer_Quadrant_of_the_Breast]
fundu	[Gallbladder_Fundus, Fundus_Uteri]
inupiat eskimo	[Inupiat_Eskimo, Inupiaq]
myeloid leukemia schill type	[Acute_Monocytic_Leukemia, Acute_Monoblastic_Leukemia]
uterin leiomyomata	[Leiomyoma, Uterine_Corpus_Leiomyoma]
sekumn	[Konkow, Digger]
cord vocal	[True_Vocal_Cord, Vocal_Cord]
computeris transaxi tomographi	[Computed_Tomography, Tomography]
atsina	[Gros_Ventres, Atsina]
neoplasm	[Neoplasm, Tumor]
tare	[Transarterial_Radioembolization, Radioembolization]
structur cardiac vein bodi	[Cardiac_Vein, Coronary_Vein]
leukemia acut lymphoid	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
malign nervou system neoplasm no	[Malignant_Neoplasm, Cancer]
cell matrix	[Cytoplasmic_Matrix, Ground_Substance, Cytosol]
transarteri radioembol	[Transarterial_Radioembolization, Radioembolization]
neural crest tumor benign	[Gangliocytoma, Ganglioneuroma]
arm no	[Upper_Extremity, Arm]
neoplasm cancer	[Malignant_Neoplasm, Cancer]
i cranial nerv	[Olfactory_Nerve, Cranial_Nerve]
north alaskan inuktitut	[Inupiat_Eskimo, Inupiaq]
set renal medulla	[Renal_Pyramid, Renal_Medulla]
lymph node tissu	[Lymph_Node_Tissue, Lymph_Node]
summari	[Summary_Section, Summary]
ear inner	[Inner_Ear, Cochlea]
plexu auerbach	[Submucous_Nerve_Plexus, Myenteric_Nerve_Plexus]
sound measur	[Diagnostic_Ultrasound, Ultrasonography]
cmf regimen	[CMF_Regimen, A_CMF_Regimen]
bodi weight	[Body_Weight, Weight]
ultrasonogr	[Diagnostic_Ultrasound, Ultrasonography]
breast ductal cancer infiltr	[Ductal_Breast_Carcinoma, Invasive_Ductal_Carcinoma_Not_Otherwise_Specified]
fibroid	[Leiomyoma, Uterine_Corpus_Leiomyoma]
astroglioma ob	[Astrocytic_Tumor, Astrocytoma]
thalam structur bodi	[Thalamencephalon, Thalamus]
